date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:16:22	84972/84972	---M--	200	added ('OK')	image/jpeg	etag:%2214bec-51eed2e55a340%22	http://www.math.iitb.ac.in/~assoc/mo/images/IMG_4698.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/IMG_4698.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:16:37	90622/90622	---M--	200	added ('OK')	image/jpeg	etag:%22161fe-5380b927cc740%22	http://www.math.iitb.ac.in/~assoc/mo/images/nilanjan.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/nilanjan.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:16:50	77032/77032	---M--	200	added ('OK')	image/jpeg	etag:%2212ce8-53839b5169280%22	http://www.math.iitb.ac.in/~assoc/mo/images/ankita.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/ankita.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:17:30	244951/244951	---M--	200	added ('OK')	image/jpeg	etag:%223bcd7-5380c45f4fe00%22	http://www.math.iitb.ac.in/~assoc/mo/images/kuldeep.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/kuldeep.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:17:53	135420/135420	---M--	200	added ('OK')	image/jpeg	etag:%22210fc-5382a3d40ebc0%22	http://www.math.iitb.ac.in/~assoc/mo/images/samanwita.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/samanwita.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:18:11	110532/110532	---M--	200	added ('OK')	image/jpeg	etag:%221afc4-5380bfe5f2fc0%22	http://www.math.iitb.ac.in/~assoc/mo/images/parth.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/parth.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:18:14	742472/742472	---M--	200	added ('OK')	image/jpeg	etag:%22b5448-537451fa918c0%22	http://www.math.iitb.ac.in/~assoc/mo/images/rajat.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/rajat.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:18:17	29433/29433	---M--	200	added ('OK')	image/jpeg	etag:%2272f9-5380b15f92b00%22	http://www.math.iitb.ac.in/~assoc/mo/images/tintisa.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/tintisa.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:18:23	47638/47638	---M--	200	added ('OK')	image/jpeg	etag:%22ba16-5380bf82c45c0%22	http://www.math.iitb.ac.in/~assoc/mo/images/tulika.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/tulika.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:18:27	62099/62099	---M--	200	added ('OK')	image/jpeg	etag:%22f293-5380c3c3dcf40%22	http://www.math.iitb.ac.in/~assoc/mo/images/chiranjibi.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/chiranjibi.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:18:29	40102/40102	---M--	200	added ('OK')	image/jpeg	etag:%229ca6-53fc8fcfcfa80%22	http://www.math.iitb.ac.in/~assoc/mo/images/hitaishi.jpeg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/hitaishi.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:18:53	141119/141119	---M--	200	added ('OK')	image/jpeg	etag:%222273f-5380c18990dc0%22	http://www.math.iitb.ac.in/~assoc/mo/images/vicky.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/vicky.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
11:18:55	169105/169105	---M--	200	added ('OK')	image/jpeg	etag:%2229491-5382ab3549500%22	http://www.math.iitb.ac.in/~assoc/mo/images/wasim.jpg	C:/My%20Web%20Sites/we/www.math.iitb.ac.in/_assoc/mo/images/wasim.jpg	(from http://www.math.iitb.ac.in/~assoc/mo/)
